Basil	Ocimum basilicum	0
Beets	Beta vulgaris	0
Begonia, Climbing	Cissus dicolor	0
Begonia, Trailing	Pellionia daveauana	0
Belmore Sentry Palm	Howea belmoreana	0
Big Shagbark Hickory	Carya laciniosa	0
Big Shellbark Hickory	Carya laciniosa	0
Bitter Pecan	Carya aquatica	0
Bitternut	Carya cordiformis	0
Black Haw	Viburnum lentago	0
Black Hawthorn	Crataegus douglasii	0
Black Walnut	Juglans nigra	0
Blackjack Pine	Pinus ponderosa	0
Blaspheme Vine	Smilax laurifolia	0
Bloodleaf	Iresine herbstii	0
Blooming Sally	Epilobium angustifolium	0
Blue Bead	Clintonia borealis	0
Blue Daisy	Felicia amelloides	0
Blue Echeveria	Echeveria glauca	0
Blue Eyed Daisy	Arctotis stoechadifolia	0
Blue-dicks	Dichelostemma pulchellum	0
Blue-dicks 2	Hookera pulchella	0
Blue-dicks 3	Brodiaea pulchella	0
Blue-eyed African Daisy	Arctotis stoechadifolia	0
Bluebottle	Centaurea cyanus	0
Blunt Leaf Peperomia	Peperomia obtusifolia	0
Blushing Bromeliad	Neoregalia spp.	0
Bold Sword Fern	Nephrolepis biserrata	0
Boston Fern	Nephrolepis exalta bostoniensis	0
Bottle Palm	Beaucarnea recurvata	0
Bottle Palm 2	Nolina tuberculata	0
Bottlebrush	Callistemon species	0
Brazilian Orchid	Sophronitis spp.	0
Bride's Bonnet	Clintonia uniflora	0
Bristly Greenbrier	Smilax hispida	0
Brodiaea Pulchella	Dichelostemma pulchellum	0
Broom Hickory	Carya laciniosa	0
Bullbrier	Smilax rotundifolia	0
Bur Gourd	Cucumis anguria	0
Burro's Tail	Sedum morganianum	0
Buttercup Squash	Cucurbita maxima cv buttercup	0
Butterfly Ginger	Hedychium coronarium	0
Butternut Squash	Cucurbita maxima cv butternut	0
Buzzy Lizzie	Impatiens spp.	0
Caeroba	Calathea insignis	0
Calathea	Calathea spp.	0
Calathea Lancifolia 2	Maranta insignis	0
Calathea Lancifolia 3	Calathea insignis	0
California Pitcher Plant	Darlingtonia californica	0
Callistemon Brachyandrus	Callistemon species	0
Callistemon citrinus	Callistemon citrinus	0
Callistemon viminalis	Callistemon viminalis	0
Calochortus nuttalli	Calochortus spp.	0
Camellia	Camellia japonica	0
Canada Hemlock	Tsuga canadensis	0
Canary Date Palm	Phoenix canariensis	0
Candle Plant	Plectranthus coleoides	0
Candycorn Plant	Hypocyrta nummularia	0
Cane Palm	Dypsis lutescens, chrysalidocarpus lutescens (alternate scientific name)	0
Canna	Canna indica	0
Canna Lily	Canna generalis	0
Canterbury-bell	Gloxinia perennis	0
Cape Marigold	Dimorphotheca pluvialis	0
Cape Primrose	Streptocarpus spp.	0
Carob	Ceratonia siliqua	0
Caroba	Jacaranda procera	0
Carolina Hemlock	Tsuga caroliniana	0
Carrion Flower	Smilax herbacea	0
Carrion Flower 2	Stapelia hirsata	0
Carrot Fern	Onychium japonica	0
Carrot Flower	Daucus carota var. sativa	0
